Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
291,0.009817477,-0.003272492,-0.004363323,-0.3,-0.32,9.39,0,0,0
292,0.005454154,-0.003272492,-0.009817477,-0.23,-0.5,9.39,0,0,0
293,0.008726646,-0.003272492,0.011999139,-0.3,-0.62,9.43,0,0,0
294,0.005454154,-0.001090831,-0.003272492,-0.39,-0.45,9.39,0,0,0
295,0.004363323,-0.008726646,0.019634954,-0.31,-0.24,9.41,0,0,0
296,0.006544985,-0.004363323,0.046905724,-0.33,-0.11,9.4,0,0,0
297,0.001090831,-0.006544985,0.035997416,-0.37,-0.13,9.4,0,0,0
298,0.006544985,-0.005454154,0.040360739,-0.34,-0.47,9.41,0,0,0
299,0.005454154,-0.004363323,0.040360739,-0.42,-0.67,9.4,0,0,0
300,0.008726646,-0.008726646,-0.001090831,-0.29,-0.46,9.41,0,0,0
301,-0.001090831,-0.002181662,-0.009817477,-0.21,-0.25,9.39,0,0,0
302,-0.001090831,-0.005454154,0.010908308,-0.33,-0.14,9.41,0,0,0
303,0.003272492,-0.004363323,-0.001090831,-0.39,-0.31,9.43,0,0,0
304,-0.001090831,-0.007635815,0.002181662,-0.32,-0.06,9.41,0,0,0
305,0,-0.002181662,-0.011999139,-0.27,-0.18,9.41,0,0,0
306,0,0,0.021816616,-0.27,-0.11,9.39,0,0,0
307,-0.002181662,-0.004363323,0.039269908,-0.32,-0.28,9.4,0,0,0
308,0.001090831,-0.001090831,0.029452431,-0.37,-0.23,9.38,0,0,0
309,-0.006544985,-0.003272492,0.026179939,-0.33,-0.3,9.4,0,0,0
310,-0.005454154,-0.004363323,0.003272492,-0.33,0.02,9.38,0,0,0
311,-0.004363323,-0.007635815,-0.050178216,-0.36,-0.23,9.43,0,0,0
312,-0.004363323,0.001090831,-0.038179077,-0.3,-0.16,9.43,0,0,0
313,-0.005454154,0.002181662,-0.009817477,-0.27,-0.01,9.44,0,0,0
314,-0.005454154,0.002181662,0.0141808,-0.33,-0.17,9.41,0,0,0
315,-0.003272492,0.001090831,0.049087385,-0.38,-0.24,9.42,0,0,0
316,-0.004363323,-0.003272492,-0.004363323,-0.36,-0.22,9.36,0,0,0
317,-0.001090831,-0.004363323,-0.040360739,-0.33,-0.39,9.42,0,0,0
318,0,-0.004363323,-0.029452431,-0.29,-0.22,9.39,0,0,0
319,-0.003272492,0.002181662,-0.013089969,-0.34,-0.37,9.42,0,0,0
320,-0.004363323,0.002181662,0.018544123,-0.32,-0.28,9.44,0,0,0
321,-0.002181662,0.002181662,0.0141808,-0.3,-0.2,9.4,0,0,0
322,-0.005454154,0.004363323,0.013089969,-0.42,-0.33,9.4,0,0,0
323,-0.003272492,-0.004363323,-0.042542401,-0.3,-0.2,9.38,0,0,0
324,-0.001090831,-0.001090831,-0.010908308,-0.31,-0.44,9.41,0,0,0
325,-0.002181662,0.001090831,0.044724062,-0.33,-0.51,9.42,0,0,0
326,-0.003272492,0,0.016362462,-0.27,-0.4,9.4,0,0,0
327,-0.004363323,0.003272492,0.010908308,-0.27,-0.36,9.38,0,0,0
328,-0.006544985,0,-0.010908308,-0.31,-0.19,9.39,0,0,0
